id	name	parent_id	depth
1200001	产品开发	0	1
1200002	生产	0	1
1200003	物流/供应链	0	1
1200004	市场营销	0	1
1200005	销售	0	1
1200006	服务	0	1
1200007	规划与企管	0	1
1200008	人力资源	0	1
1200009	IT与互联网科技	0	1
1200010	财务	0	1
1200011	金融	0	1
1200012	房地产	0	1
1200013	影视媒体	0	1
1200014	综合管理	0	1
1200015	风空与法务	0	1
1200016	公司事务与外部关系	0	1
1200017	农牧业	0	1
1200018	通用管理	0	1
2200001	产品研发	1200001	2
2200002	产品开发高管	1200001	2
2200003	基础研发	1200001	2
2200004	应用研发	1200001	2
2200005	设计	1200001	2
2200006	生产通用	1200002	2
2200007	生产高管	1200002	2
2200008	技术/工程/质量/维修	1200002	2
2200009	生产/组装/操作	1200002	2
2200010	生产管理	1200002	2
2200011	项目管理	1200002	2
2200012	物流/供应链通用	1200003	2
2200013	物流/供应链高管	1200003	2
2200014	物流计划	1200003	2
2200015	采购	1200003	2
2200016	仓库/物料管理	1200003	2
2200017	运输配送	1200003	2
2200018	市场营销通用	1200004	2
2200019	市场营销高管	1200004	2
2200020	市场研究	1200004	2
2200021	产品管理	1200004	2
2200022	渠道营销	1200004	2
2200023	促销和广告	1200004	2
2200024	数字营销	1200004	2
2200025	电子商务	1200004	2
2200026	品牌管理	1200004	2
2200027	销售通用	1200005	2
2200028	销售高管	1200005	2
2200029	解决方案与服务销售	1200005	2
2200030	一般销售	1200005	2
2200031	销售支持	1200005	2
2200032	专业服务	1200006	2
2200033	非专业服务	1200006	2
2200034	业务规划	1200007	2
2200035	企业管理	1200007	2
2200036	投资并购	1200007	2
2200037	人力资源通用	1200008	2
2200038	人力资源高管	1200008	2
2200039	培训与发展	1200008	2
2200040	薪酬和福利	1200008	2
2200041	招聘	1200008	2
2200042	组织发展	1200008	2
2200043	员工关系	1200008	2
2200044	IT与互联网科技通用	1200009	2
2200045	IT与互联网科技高管	1200009	2
2200046	互联网产品管理	1200009	2
2200047	软件开发	1200009	2
2200048	软件测试	1200009	2
2200049	运维/信息安全	1200009	2
2200050	IT需求/IT项目管理	1200009	2
2200051	技术运营与终端支持	1200009	2
2200052	互联网运营	1200009	2
2200053	财务通用	1200010	2
2200054	财务高管	1200010	2
2200055	会计/税务	1200010	2
2200056	出纳	1200010	2
2200057	资金管理	1200010	2
2200058	精算	1200011	2
2200059	金融产品研发	1200011	2
2200060	金融资产管理	1200011	2
2200061	保险运营	1200011	2
2200062	授信审批	1200011	2
2200063	银行运营	1200011	2
2200064	投行业务	1200011	2
2200065	金融研究	1200011	2
2200066	操盘手	1200011	2
2200067	交易员	1200011	2
2200068	再保险	1200011	2
2200069	土地投资	1200012	2
2200070	固定资产管理/运营	1200012	2
2200071	成本合约	1200012	2
2200072	工程建筑	1200012	2
2200073	物业管理	1200012	2
2200074	编辑	1200013	2
2200075	记者	1200013	2
2200076	影视制作与编导	1200013	2
2200077	演艺管理	1200013	2
2200078	演艺	1200013	2
2200079	播音/主持	1200013	2
2200080	行政类	1200014	2
2200081	风控与法务高管	1200015	2
2200082	风控与法务通用	1200015	2
2200083	内控合规	1200015	2
2200084	法务	1200015	2
2200085	风险控制	1200015	2
2200086	公司事务与外部关系高管	1200016	2
2200087	公司事务与外部关系通用	1200016	2
2200088	公共关系和传讯	1200016	2
2200089	政府关系	1200016	2
2200090	监管和注册	1200016	2
2200091	农牧管理	1200017	2
2200092	农牧技术	1200017	2
2200093	动植物培育	1200017	2
2200094	通用管理	1200018	2
3200001	.net开发	2200047	3
3200002	游戏动作	2200005	3
3200003	游戏美术	2200005	3
3200004	游戏场景	2200005	3
3200006	广告客户经理	2200023	3
3200007	游戏特效	2200005	3
3200008	动画制作	2200005	3
3200009	游戏角色	2200005	3
3200010	图形建模	2200005	3
3200011	安卓开发	2200047	3
3200012	ar开发	2200047	3
3200013	arm开发	2200047	3
3200014	as3开发	2200047	3
3200015	物料管理	2200016	3
3200016	bsp开发	2200047	3
3200017	sap顾问	2200032	3
3200018	电商采购	2200015	3
3200020	c++开发	2200047	3
3200021	cae工程师	2200008	3
3200022	数控机床工程师	2200008	3
3200023	数控机床操作工	2200009	3
3200024	cnc工程师	2200008	3
3200025	客户关系管理	2200031	3
3200026	产品经理	2200021	3
3200027	软件技术支持	2200051	3
3200028	数据库管理	2200049	3
3200029	dsp开发	2200047	3
3200030	安全管理	2200049	3
3200031	ios开发	2200047	3
3200032	集成电路设计	2200005	3
3200033	erp技术支持	2200051	3
3200034	软件销售	2200029	3
3200035	flash	2200005	3
3200036	fpga工程师	2200008	3
3200037	hadoop	2200047	3
3200038	人力资源	2200041	3
3200039	html5开发	2200047	3
3200040	web开发	2200047	3
3200041	品牌管理	2200026	3
3200043	电子质量检测	2200008	3
3200044	java开发	2200047	3
3200045	前端开发	2200047	3
3200046	linux软件开发	2200047	3
3200047	电话销售	2200030	3
3200048	mtk开发	2200047	3
3200049	node.js	2200047	3
3200050	通用销售	2200030	3
3200051	首席技术官	2200045	3
3200052	医药销售	2200030	3
3200053	cam工程师	2200008	3
3200054	php开发	2200047	3
3200055	plc工程师	2200008	3
3200056	python开发	2200047	3
3200057	射频工程师	2200008	3
3200058	爬虫工程师	2200047	3
3200059	ui设计	2200005	3
3200060	unity3d开发	2200047	3
3200061	移动开发	2200047	3
3200062	项目经理	2200011	3
3200063	wifi研发	2200047	3
3200064	安防工程师	2200008	3
3200065	安全工程师	2200008	3
3200066	网络安全	2200049	3
3200067	软件测试	2200048	3
3200068	安装工人	2200009	3
3200069	工程安装	2200008	3
3200070	家装工人	2200009	3
3200072	水电安装	2200009	3
3200073	led技术	2200008	3
3200074	安卓工程师	2200008	3
3200075	计算机绘图	2200005	3
3200076	钣金工程师	2200008	3
3200077	汽车维修	2200008	3
3200078	包装设计	2200005	3
3200079	保安	2200080	3
3200080	保荐代表	2200064	3
3200081	保洁	2200080	3
3200082	通用会计	2200055	3
3200084	房地产开发	2200069	3
3200086	内容运营	2200052	3
3200087	通用编辑	2200074	3
3200088	新闻编辑	2200074	3
3200090	财经编辑	2200074	3
3200091	影视制作	2200076	3
3200092	德语工作	2200032	3
3200093	学科编辑	2200074	3
3200094	游戏编辑	2200074	3
3200095	图书编辑	2200074	3
3200096	时尚编辑	2200074	3
3200097	广告编辑	2200023	3
3200098	房产编辑	2200074	3
3200099	体育编辑	2200074	3
3200100	英语工作	2200032	3
3200102	金融编辑	2200074	3
3200103	多媒体编辑	2200005	3
3200104	韩语工作	2200032	3
3200105	平面设计	2200005	3
3200106	法务	2200084	3
3200108	标准化工程师	2200008	3
3200109	并购	2200036	3
3200110	材料工程师	2200008	3
3200111	通用财务	2200055	3
3200112	通用成本管理	2200055	3
3200113	薪酬福利	2200040	3
3200114	理财顾问	2200059	3
3200115	物料采购	2200015	3
3200116	电气采购	2200015	3
3200117	通用采购	2200015	3
3200119	内勤	2200080	3
3200120	国际采购	2200015	3
3200121	医药采购	2200015	3
3200122	广告采购	2200015	3
3200123	设备采购	2200015	3
3200124	仓储管理	2200016	3
3200125	日语工作	2200032	3
3200126	机电工人	2200009	3
3200127	污水处理	2200008	3
3200128	通用工人	2200009	3
3200129	机电维修	2200008	3
3200130	物业维修	2200008	3
3200131	喷漆工人	2200009	3
3200132	物流管理	2200014	3
3200134	印刷工人	2200009	3
3200135	化工工人	2200009	3
3200136	包装工人	2200009	3
3200138	电焊工人	2200009	3
3200139	电子配件制作	2200008	3
3200140	服装制作	2200005	3
3200141	erp文员	2200080	3
3200142	面点师	2200033	3
3200144	冶炼工人	2200009	3
3200145	工程施工	2200072	3
3200146	食品加工	2200008	3
3200147	汽车制造	2200001	3
3200148	电气测试	2200008	3
3200149	通用测试	2200008	3
3200150	通信测试	2200008	3
3200151	硬件测试	2200008	3
3200152	环境安全	2200008	3
3200153	化工测试	2200008	3
3200154	物理测试	2200008	3
3200155	通用质量检测	2200008	3
3200156	材料质量检测	2200008	3
3200157	通用策划	2200034	3
3200158	游戏策划	2200005	3
3200159	商务策划	2200034	3
3200161	产品工程师	2200008	3
3200162	产品研发	2200001	3
3200163	移动产品经理	2200046	3
3200164	市场拓展	2200018	3
3200165	市场营销	2200018	3
3200166	产品设计	2200005	3
3200167	业务跟单	2200031	3
3200168	通用市场推广	2200023	3
3200169	金融工程师	2200059	3
3200170	电商产品经理	2200046	3
3200171	硬件产品经理	2200001	3
3200172	金融产品经理	2200059	3
3200173	医疗器械研发	2200001	3
3200174	医药研发	2200001	3
3200175	商品管理	2200016	3
3200176	市场调研	2200020	3
3200177	化妆品研发	2200001	3
3200178	机械设计	2200005	3
3200179	电器设计	2200005	3
3200180	产品运营	2200052	3
3200181	移动运营	2200052	3
3200182	贷款管理	2200062	3
3200183	厂务工程师	2200008	3
3200184	农场主	2200091	3
3200186	汽车设计	2200005	3
3200187	车身工程师	2200008	3
3200188	土建成本管理	2200055	3
3200189	机电成本管理	2200055	3
3200190	物料成本管理	2200055	3
3200192	区域销售	2200030	3
3200193	乘务员	2200033	3
